mutation_type,edge_weight,capacity_delta_mw,turbine_dispersion_stddev,parent_rank,round_idx,project_id,scenario_id,feasible,total_route_length_m,evaluation.rank,evaluation.lifecycle_cost
EDGE_RECONNECT,1643.696039328375,0.0,1.8407010341228412e-10,1.0,1,SYN-1-CLUSTERED-8,SCN-S1-001,True,6172.2006469240805,6,905510.11
EDGE_RECONNECT,1067.4622531908196,0.0,0.0,1.0,1,SYN-1-CLUSTERED-8,SCN-S1-002,True,6260.685642238477,10,914738.09
FEEDER_SWAP,149.4635486658823,0.0,2.720053296903111e-10,1.0,1,SYN-1-CLUSTERED-8,SCN-S1-003,True,6398.706186727138,27,937252.82
EDGE_RECONNECT,1636.4588465530924,0.0,3.5994055596833804e-10,1.0,1,SYN-1-CLUSTERED-8,SCN-S1-004,True,6276.292214370329,26,916366.79
FEEDER_SWAP,172.78318550055147,0.0,1.7997027798416902e-10,1.0,1,SYN-1-CLUSTERED-8,SCN-S1-005,True,6025.336236905225,1,884330.98
FEEDER_SWAP,237.64168436031025,0.0,1.7997027798416902e-10,1.0,1,SYN-1-CLUSTERED-8,SCN-S1-006,True,6142.013537735292,2,899125.82
FEEDER_SWAP,299.3767228258351,0.0,0.0,1.0,1,SYN-1-CLUSTERED-8,SCN-S1-007,True,6437.482104802061,18,940991.21
EDGE_RECONNECT,1428.7848581700764,0.0,0.0,1.0,1,SYN-1-CLUSTERED-8,SCN-S1-008,True,6428.932883742074,24,941286.24
FEEDER_SWAP,329.1383170627806,0.0,2.720053296903111e-10,1.0,1,SYN-1-CLUSTERED-8,SCN-S1-009,True,6404.744316215455,34,937996.3
FEEDER_SWAP,333.5232442742387,0.0,9.203505170614206e-11,1.0,1,SYN-1-CLUSTERED-8,SCN-S1-010,True,6511.885975007164,23,954161.31
FEEDER_SWAP,403.4421214389148,0.0,0.0,1.0,1,SYN-1-CLUSTERED-8,SCN-S1-011,True,6488.299392281728,21,946128.09
FEEDER_SWAP,450.1063578245693,0.0,9.203505170614206e-11,1.0,1,SYN-1-CLUSTERED-8,SCN-S1-012,True,6444.003935075121,16,941298.64
FEEDER_SWAP,535.9994691686937,0.0,9.203505170614206e-11,1.0,1,SYN-1-CLUSTERED-8,SCN-S1-013,True,6494.258837199455,8,945218.86
FEEDER_SWAP,575.7371794578721,0.0,1.7997027798416902e-10,1.0,1,SYN-1-CLUSTERED-8,SCN-S1-014,True,6534.212110041351,13,949613.98
FEEDER_SWAP,578.4601948715409,0.0,9.203505170614206e-11,1.0,1,SYN-1-CLUSTERED-8,SCN-S1-015,True,6515.092934525355,11,950324.93
FEEDER_SWAP,594.0858504690436,0.0,1.7997027798416902e-10,1.0,1,SYN-1-CLUSTERED-8,SCN-S1-016,True,6545.954851939219,15,950801.04
EDGE_RECONNECT,1067.4622531908196,0.0,0.0,1.0,1,SYN-1-CLUSTERED-8,SCN-S1-017,True,7032.697362420947,30,1017338.43
EDGE_RECONNECT,1428.7848581700764,0.0,0.0,1.0,1,SYN-1-CLUSTERED-8,SCN-S1-018,True,7235.936731253914,35,1046259.92
EDGE_RECONNECT,1636.4588465530924,0.0,3.5994055596833804e-10,1.0,1,SYN-1-CLUSTERED-8,SCN-S1-019,True,7429.587109065247,37,1070675.55
EDGE_RECONNECT,1643.696039328375,0.0,1.8407010341228412e-10,1.0,1,SYN-1-CLUSTERED-8,SCN-S1-020,True,7580.362748126192,38,1094560.29
EDGE_RECONNECT,1643.696039328375,0.0,1.8407010341228412e-10,2.0,1,SYN-1-CLUSTERED-8,SCN-S1-021,True,6473.700136288475,22,944632.85
FEEDER_SWAP,149.4635486658823,0.0,9.203505170614206e-11,2.0,1,SYN-1-CLUSTERED-8,SCN-S1-022,True,6663.18607513892,33,969632.86
FEEDER_SWAP,158.17793986366314,0.0,2.924341166887374e-10,2.0,1,SYN-1-CLUSTERED-8,SCN-S1-023,True,6466.403325396784,14,943738.4
EDGE_RECONNECT,1123.265023521792,0.0,7.146558442341765e-11,2.0,1,SYN-1-CLUSTERED-8,SCN-S1-024,True,6617.987901933844,25,962681.34
EDGE_RECONNECT,1636.4588465530924,0.0,0.0,2.0,1,SYN-1-CLUSTERED-8,SCN-S1-025,True,6632.586526841201,32,964204.21
FEEDER_SWAP,316.2611760099528,0.0,3.5732792211708824e-11,2.0,1,SYN-1-CLUSTERED-8,SCN-S1-026,True,6621.218493416383,17,961409.66
FEEDER_SWAP,329.1383170627806,0.0,9.203505170614206e-11,2.0,1,SYN-1-CLUSTERED-8,SCN-S1-027,True,6641.64482534736,29,967587.92
FEEDER_SWAP,330.28478658163607,0.0,2.567013244770286e-10,2.0,1,SYN-1-CLUSTERED-8,SCN-S1-028,True,6378.402710609598,7,928842.57
EDGE_RECONNECT,1483.5796812765543,0.0,5.134026489540572e-10,2.0,1,SYN-1-CLUSTERED-8,SCN-S1-029,True,6841.02996654392,42,997945.53
FEEDER_SWAP,463.1859474481767,0.0,3.4873637618317067e-10,2.0,1,SYN-1-CLUSTERED-8,SCN-S1-030,True,6736.908893632733,40,982729.73
FEEDER_SWAP,578.4601948715409,0.0,3.4873637618317067e-10,2.0,1,SYN-1-CLUSTERED-8,SCN-S1-031,True,6550.285675099678,28,957862.94
FEEDER_SWAP,607.4976677227403,0.0,1.2776784391785087e-10,2.0,1,SYN-1-CLUSTERED-8,SCN-S1-032,True,6747.330284817805,20,979626.06
FEEDER_SWAP,656.1987413410278,0.0,1.2776784391785087e-10,2.0,1,SYN-1-CLUSTERED-8,SCN-S1-033,True,6635.33438817077,9,965304.3
EDGE_RECONNECT,1123.265023521792,0.0,7.146558442341765e-11,2.0,1,SYN-1-CLUSTERED-8,SCN-S1-034,True,7144.735440541062,31,1031308.73
EDGE_RECONNECT,1483.5796812765543,0.0,5.134026489540572e-10,2.0,1,SYN-1-CLUSTERED-8,SCN-S1-035,True,7332.755040276867,36,1058870.44
EDGE_RECONNECT,1636.4588465530924,0.0,0.0,2.0,1,SYN-1-CLUSTERED-8,SCN-S1-036,True,7823.729700650967,41,1122340.2
EDGE_RECONNECT,1643.696039328375,0.0,1.8407010341228412e-10,2.0,1,SYN-1-CLUSTERED-8,SCN-S1-037,True,7881.862237490586,39,1133683.02
EDGE_RECONNECT,1643.696039328375,0.0,1.8407010341228412e-10,1.0,2,SYN-1-CLUSTERED-8,SCN-S2-038,True,6074.123834735514,3,892419.37
EDGE_RECONNECT,1067.4622531908196,0.0,0.0,1.0,2,SYN-1-CLUSTERED-8,SCN-S2-039,True,6162.608830049911,4,901647.35
FEEDER_SWAP,149.4635486658823,0.0,9.203505170614206e-11,1.0,2,SYN-1-CLUSTERED-8,SCN-S2-040,True,6263.60977358596,19,917419.39
EDGE_RECONNECT,1849.7292095343946,0.0,232.44822456533407,1.0,1,SYN-2-SPREAD-12,SCN-S1-001,True,12311.968985198662,10,1803462.97
EDGE_RECONNECT,1955.841838344132,0.0,269.23589019953647,1.0,1,SYN-2-SPREAD-12,SCN-S1-002,True,12372.354783374063,13,1810029.79
EDGE_RECONNECT,542.292816474103,0.0,337.402118906787,1.0,1,SYN-2-SPREAD-12,SCN-S1-003,True,12377.094722746166,5,1810138.29
FEEDER_SWAP,82.47442118717726,0.0,284.9251717360605,1.0,1,SYN-2-SPREAD-12,SCN-S1-004,True,12384.652476108558,15,1816102.65
